"units1","units2","units3","num_layers","dropout1","activation","final_activation","optimizer","lr","batch_size","mae","rmse","mse"
64,32,16,1,0.2,"relu","relu","adam",0.001,128,22274.1637272293,36269.5134141123,1315477603.29647
128,32,16,1,0.2,"relu","relu","adam",0.001,128,22271.6476146488,36267.9546564758,1315364534.96418
256,32,16,1,0.2,"relu","relu","adam",0.001,128,22267.2490443678,36265.1854995813,1315163679.31904
64,64,16,1,0.2,"relu","relu","adam",0.001,128,22281.600824814,36274.0132061041,1315804034.07662
128,64,16,1,0.2,"relu","relu","adam",0.001,128,22274.8932181055,36269.8885508439,1315504815.49064
256,64,16,1,0.2,"relu","relu","adam",0.001,128,22267.7488902193,36265.516530727,1315187689.24043
64,128,16,1,0.2,"relu","relu","adam",0.001,128,22278.3208357927,36272.0147251013,1315659052.21797
128,128,16,1,0.2,"relu","relu","adam",0.001,128,22277.9731492798,36271.7741016755,1315641596.48297
256,128,16,1,0.2,"relu","relu","adam",0.001,128,22260.8124756235,36261.2325267548,1314876984.35938
64,32,32,1,0.2,"relu","relu","adam",0.001,128,22266.4122539795,36264.6090339622,1315121868.38613
128,32,32,1,0.2,"relu","relu","adam",0.001,128,22276.1538511876,36270.6025910369,1315556612.31693
256,32,32,1,0.2,"relu","relu","adam",0.001,128,22272.2509734703,36268.2591719042,1315386623.36042
64,64,32,1,0.2,"relu","relu","adam",0.001,128,22280.8596034556,36273.5798071702,1315772592.02714
128,64,32,1,0.2,"relu","relu","adam",0.001,128,22269.1145823435,36266.3054965636,1315244914.37008
256,64,32,1,0.2,"relu","relu","adam",0.001,128,22267.4938410701,36265.3357866954,1315174579.72177
64,128,32,1,0.2,"relu","relu","adam",0.001,128,22278.0411669323,36271.785616291,1315642431.79417
128,128,32,1,0.2,"relu","relu","adam",0.001,128,22271.899155866,36268.0707163383,1315372953.48532
256,128,32,1,0.2,"relu","relu","adam",0.001,128,22270.717860211,36267.3655963482,1315321807.29918
64,32,64,1,0.2,"relu","relu","adam",0.001,128,22280.4144824626,36273.2817846516,1315750971.42874
128,32,64,1,0.2,"relu","relu","adam",0.001,128,22275.770198244,36270.3962634235,1315541645.10577
256,32,64,1,0.2,"relu","relu","adam",0.001,128,22264.3620233391,36263.4462323942,1315037532.64975
64,64,64,1,0.2,"relu","relu","adam",0.001,128,22282.0961418439,36274.297087879,1315824629.21971
128,64,64,1,0.2,"relu","relu","adam",0.001,128,22276.67487078,36271.002740075,1315585639.77053
256,64,64,1,0.2,"relu","relu","adam",0.001,128,22268.2479286266,36265.7530974138,1315204847.72258
64,128,64,1,0.2,"relu","relu","adam",0.001,128,22278.8128559282,36272.2288922399,1315674588.81104
128,128,64,1,0.2,"relu","relu","adam",0.001,128,22274.3063159892,36269.4779462343,1315475030.49238
256,128,64,1,0.2,"relu","relu","adam",0.001,128,22264.7985820626,36263.5987250862,1315048592.49408
64,32,16,1,0.3,"relu","relu","adam",0.001,128,22274.9261117885,36269.9263633834,1315507558.40525
128,32,16,1,0.3,"relu","relu","adam",0.001,128,22261.1690920844,36261.4209439531,1314890648.87456
256,32,16,1,0.3,"relu","relu","adam",0.001,128,22267.0286589175,36265.0601524373,1315154587.8599
64,64,16,1,0.3,"relu","relu","adam",0.001,128,22282.1780800404,36274.3752705169,1315830301.26629
128,64,16,1,0.3,"relu","relu","adam",0.001,128,22268.1804921772,36265.7421591195,1315204054.35174
256,64,16,1,0.3,"relu","relu","adam",0.001,128,22265.6912443927,36264.2331028286,1315094602.53629
64,128,16,1,0.3,"relu","relu","adam",0.001,128,22280.4434575962,36273.3202769166,1315753763.91177
128,128,16,1,0.3,"relu","relu","adam",0.001,128,22271.4969109441,36267.8292551367,1315355438.87975
256,128,16,1,0.3,"relu","relu","adam",0.001,128,22270.1720658071,36267.0013590011,1315295387.57379
64,32,32,1,0.3,"relu","relu","adam",0.001,128,22281.917126097,36274.1983478615,1315817465.78
128,32,32,1,0.3,"relu","relu","adam",0.001,128,22268.2576042089,36265.8653443727,1315212989.17618
256,32,32,1,0.3,"relu","relu","adam",0.001,128,22266.240724578,36264.6055554652,1315121616.09348
64,64,32,1,0.3,"relu","relu","adam",0.001,128,22282.0029109204,36274.2502626971,1315821232.12078
128,64,32,1,0.3,"relu","relu","adam",0.001,128,22273.5338329871,36269.0949300798,1315447247.04714
256,64,32,1,0.3,"relu","relu","adam",0.001,128,22269.2749873002,36266.4418314888,1315254803.11676
64,128,32,1,0.3,"relu","relu","adam",0.001,128,22277.8526700049,36271.7062295898,1315636672.80566
128,128,32,1,0.3,"relu","relu","adam",0.001,128,22269.6910608104,36266.7098008965,1315274239.78244
256,128,32,1,0.3,"relu","relu","adam",0.001,128,22271.2719272447,36267.669210787,1315343829.98306
64,32,64,1,0.3,"relu","relu","adam",0.001,128,22275.7681544062,36270.3906905998,1315541240.84875
128,32,64,1,0.3,"relu","relu","adam",0.001,128,22268.4678374059,36265.9782804662,1315221180.63925
256,32,64,1,0.3,"relu","relu","adam",0.001,128,22268.5802235676,36266.0215218676,1315224317.02456
64,64,64,1,0.3,"relu","relu","adam",0.001,128,22281.6532859567,36274.0227017967,1315804722.97046
128,64,64,1,0.3,"relu","relu","adam",0.001,128,22265.0217331684,36263.801997911,1315063335.3437
256,64,64,1,0.3,"relu","relu","adam",0.001,128,22266.7146314563,36264.8706276612,1315140841.641
64,128,64,1,0.3,"relu","relu","adam",0.001,128,22280.677668371,36273.4079787883,1315760126.39562
128,128,64,1,0.3,"relu","relu","adam",0.001,128,22269.7663956339,36266.783953436,1315279618.3252
256,128,64,1,0.3,"relu","relu","adam",0.001,128,22268.0470028646,36265.6282974083,1315195795.80578
64,32,16,1,0.2,"tanh","relu","adam",0.001,128,22281.7266746565,36274.054993901,1315807065.70055
128,32,16,1,0.2,"tanh","relu","adam",0.001,128,22281.9614656459,36274.2595579656,1315821906.47866
256,32,16,1,0.2,"tanh","relu","adam",0.001,128,22279.6844426484,36272.8329009547,1315718406.66058
64,64,16,1,0.2,"tanh","relu","adam",0.001,128,22281.9527533976,36274.2375896426,1315820312.70984
128,64,16,1,0.2,"tanh","relu","adam",0.001,128,22281.4325147971,36273.8828498173,1315794577.00227
256,64,16,1,0.2,"tanh","relu","adam",0.001,128,22281.019245313,36273.6505064404,1315777721.06339
64,128,16,1,0.2,"tanh","relu","adam",0.001,128,22272.9818779086,36268.6252686722,1315413178.87937
128,128,16,1,0.2,"tanh","relu","adam",0.001,128,22282.2797968322,36274.4257018188,1315833959.99677
256,128,16,1,0.2,"tanh","relu","adam",0.001,128,22281.2800397421,36273.8076166481,1315789119.0096
64,32,32,1,0.2,"tanh","relu","adam",0.001,128,22281.6009267496,36273.9982199363,1315802946.85994
128,32,32,1,0.2,"tanh","relu","adam",0.001,128,22271.6234868548,36267.7979669046,1315353169.36821
256,32,32,1,0.2,"tanh","relu","adam",0.001,128,22281.6726943968,36274.0605703818,1315807470.26373
64,64,32,1,0.2,"tanh","relu","adam",0.001,128,22281.2764638102,36273.8551737617,1315792569.16704
128,64,32,1,0.2,"tanh","relu","adam",0.001,128,22282.1464674351,36274.3281179297,1315826880.40723
256,64,32,1,0.2,"tanh","relu","adam",0.001,128,22280.1101948456,36273.0833048752,1315736572.44242
64,128,32,1,0.2,"tanh","relu","adam",0.001,128,22281.7073368602,36274.0816886205,1315809002.35272
128,128,32,1,0.2,"tanh","relu","adam",0.001,128,22281.9154984328,36274.2061544948,1315818032.13879
256,128,32,1,0.2,"tanh","relu","adam",0.001,128,22276.5999498692,36270.943676496,1315581355.18355
64,32,64,1,0.2,"tanh","relu","adam",0.001,128,22281.9416739218,36274.2396818747,1315820464.49809
128,32,64,1,0.2,"tanh","relu","adam",0.001,128,22281.3478588466,36273.8300203146,1315790744.34268
256,32,64,1,0.2,"tanh","relu","adam",0.001,128,22280.3253990818,36273.2121542223,1315745919.98522
64,64,64,1,0.2,"tanh","relu","adam",0.001,128,22281.6512715963,36274.0951212261,1315809976.86376
128,64,64,1,0.2,"tanh","relu","adam",0.001,128,22281.3406999238,36273.8642512539,1315793227.71839
256,64,64,1,0.2,"tanh","relu","adam",0.001,128,22279.2629786513,36272.5509899442,1315697955.3181
